Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
am,mr,0.1969,8,53,0.0008035355564483,466,1074,0.4338919925512104,0.5290718671000361,0.4744567289363325,0.0132505178842537,0.4097,0.7028,0.6759,0.5641,0.6655,0.0151
am,cop,0.2134,3,58,0.0004017677782241,514,1074,0.478584729981378,0.4940717882085432,0.4744567289363325,0.0017091730208705,0.8919,0.747,0.7088,0.5212,0.6611,0.153
am,ta,0.2737,1,60,0.0004017677782241,600,1074,0.5586592178770949,0.5614149588826524,0.4744567289363325,0.0335914043976129,0.8831,0.7983,0.7424,0.5,0.6391,0.1064
am,ga,0.1649,15,46,0.0012053033346725,1020,1074,0.9497206703910616,0.3499300699300699,0.4744567289363325,0.0688860768692641,1.0,0.7251,0.6989,0.5641,0.6522,0.008
am,hu,0.1118,33,28,0.0004017677782241,1800,1074,1.675977653631285,0.4546198320061089,0.4744567289363325,0.0017480516186745,0.5903,0.7359,0.7098,0.6082,0.6746,0.0163
am,te,0.1658,13,48,0.0016070711128967,1328,1074,1.2364990689013036,0.3446196660482374,0.4744567289363325,0.0748866053698936,0.8989,0.7527,0.7252,0.5641,0.6611,0.0196
am,af,0.0963,40,21,0.0008035355564483,1934,1074,1.8007448789571694,0.203484865408243,0.4744567289363325,0.3261783830147554,0.5319,0.7359,0.7038,0.6082,0.6933,0.1487
am,vi,0.1857,10,51,0.0012053033346725,3000,1074,2.793296089385475,0.1568043561492321,0.4744567289363325,0.4482403894673331,0.6614,0.7766,0.757,0.5859,0.7127,0.0218
am,ug,0.1939,9,52,0.0004017677782241,3456,1074,3.217877094972067,0.4374610522567435,0.4744567289363325,0.0060800721079953,1.0,0.7664,0.7221,0.5641,0.6263,0.2679
am,el,0.0943,41,20,0.0008035355564483,2521,1074,2.3472998137802605,0.2837253360022877,0.4744567289363325,0.1616036405847426,1.0,0.8983,0.862,0.7323,0.7722,0.1489
am,sme,0.1791,11,50,0.0008035355564483,3122,1074,2.9068901303538177,0.4513223794042703,0.4744567289363325,0.0023775045963217,0.8831,0.747,0.7139,0.6082,0.6348,0.241
am,gl,0.1127,32,29,0.0008035355564483,3993,1074,3.717877094972067,0.2302721876615389,0.4744567289363325,0.2648763065806108,0.5903,0.7377,0.7139,0.5859,0.6792,0.0172
am,sr,0.2247,2,59,0.0004017677782241,3891,1074,3.622905027932961,0.3111760696308725,0.4744567289363325,0.1184339652395492,1.0,0.7684,0.7402,0.5641,0.6435,0.3107
am,got,0.1195,29,32,0.0004017677782241,5401,1074,5.028864059590316,0.1811019353439708,0.4744567289363325,0.3822901936100947,0.5319,0.7341,0.7129,0.6082,0.7078,0.0292
am,tr,0.209,5,56,0.0004017677782241,5635,1074,5.246741154562383,0.5061541783632045,0.4744567289363325,0.0044632931722329,1.0,0.7396,0.7019,0.5859,0.6263,0.0607
am,zh,0.1096,34,27,0.0004017677782241,4997,1074,4.65270018621974,0.9869043288468534,0.4744567289363325,1.1665563072539753,1.0,0.7644,0.7231,0.5859,0.6522,0.095
am,ur,0.1049,37,24,0.0008035355564483,5130,1074,4.776536312849162,0.1056406117958751,0.4744567289363325,0.6042637783596367,0.8831,0.7508,0.7139,0.5212,0.6221,0.0192
am,cu,0.1423,20,41,0.0004017677782241,6337,1074,5.900372439478585,0.1959524016329366,0.4744567289363325,0.344564613920532,0.631,0.7624,0.7305,0.6082,0.6478,0.031
am,sv,0.1404,22,39,0.0008035355564483,6026,1074,5.610800744878957,0.2404336943809909,0.4744567289363325,0.2432898509313028,0.9766,0.7527,0.7068,0.5426,0.5972,0.0634
am,da,0.0384,51,10,0.0008035355564483,5512,1074,5.132216014897579,0.2897915761056075,0.4744567289363325,0.1514874582800071,1.0,0.7341,0.7028,0.5,0.6885,0.097
am,id,0.0358,52,9,0.0008035355564483,5593,1074,5.207635009310987,0.2927781145801758,0.4744567289363325,0.1466271513013074,0.8831,0.7396,0.719,0.5641,0.6746,0.0393
am,uk,0.011,57,4,0.0012053033346725,5873,1074,5.468342644320298,0.4399821508255243,0.4744567289363325,0.0052796447289216,0.8337,0.7181,0.7019,0.5426,0.6792,0.0931
am,fa,0.0709,48,13,0.0008035355564483,5997,1074,5.583798882681564,0.15688157524207,0.4744567289363325,0.4480224876843969,1.0,0.7414,0.7211,0.5212,0.6306,0.279
am,he,0.1725,12,49,0.0008035355564483,6216,1074,5.787709497206704,0.4067013046511386,0.4744567289363325,0.0203936479374259,1.0,0.7746,0.7457,0.5641,0.6746,0.3835
am,eu,0.0938,42,19,0.0008035355564483,8993,1074,8.373370577281191,0.3519527880166261,0.4744567289363325,0.0666663839830821,0.9139,0.7164,0.6931,0.5426,0.6611,0.0882
am,lv,0.0983,38,23,0.0008035355564483,7703,1074,7.172253258845438,0.37546297265061,0.4744567289363325,0.043533379897116,0.9139,0.7216,0.6921,0.5426,0.6391,0.079
am,sl,0.0118,56,5,0.0012053033346725,8000,1074,7.4487895716946,0.3676498731122853,0.4744567289363325,0.0506763165509655,0.8919,0.7851,0.7337,0.5426,0.6096,0.1953
am,hr,0.0838,46,15,0.0008035355564483,8889,1074,8.276536312849162,0.2981575694863614,0.4744567289363325,0.138072523603274,0.9047,0.7199,0.7019,0.5859,0.6792,0.0319
am,ro,0.1412,21,40,0.0008035355564483,9524,1074,8.86778398510242,0.2570438554726763,0.4744567289363325,0.2099796904993225,0.9176,0.7585,0.7326,0.5859,0.6885,0.0742
am,sk,0.1062,36,25,0.0008035355564483,10604,1074,9.873370577281191,0.4130087201061381,0.4744567289363325,0.0167734503815637,0.8718,0.713,0.6989,0.5859,0.6981,0.0346
am,bg,0.1306,26,35,0.0008035355564483,11138,1074,10.370577281191808,0.2891950325041875,0.4744567289363325,0.1524677714215615,0.8919,0.7684,0.719,0.5212,0.6054,0.2585
am,pt,0.1185,30,31,0.0008035355564483,12078,1074,11.245810055865922,0.1985895453616555,0.4744567289363325,0.3380701772932888,1.0,0.7451,0.7098,0.5641,0.6566,0.3281
am,nl,0.0861,44,17,0.0012053033346725,13583,1074,12.647113594040968,0.2163749886307094,0.4744567289363325,0.29588390140601,1.0,0.8029,0.757,0.5859,0.6746,0.3416
am,en,0.0826,47,14,0.0020088388911209,16622,1074,15.476722532588454,0.1746279711803919,0.4744567289363325,0.3993496885788866,0.9047,0.7269,0.6931,0.5,0.6137,0.0433
am,it,0.011,57,4,0.0008035355564483,14167,1074,13.190875232774674,0.2090539911907565,0.4744567289363325,0.3129086553219479,0.6614,0.8052,0.7748,0.631,0.6885,0.0166
am,ca,0.1471,18,43,0.0020088388911209,16678,1074,15.528864059590315,0.1431069684669108,0.4744567289363325,0.4877307093398497,1.0,0.7433,0.72,0.5859,0.7078,0.0969
am,hi,0.1066,35,26,0.0008035355564483,16647,1074,15.5,0.072831563624156,0.4744567289363325,0.7165534872571868,1.0,0.7851,0.7435,0.6082,0.6655,0.2365
am,pl,0.2071,6,55,0.0016070711128967,17246,1074,16.057728119180634,0.4049278834815912,0.4744567289363325,0.0214751801163773,0.8919,0.7269,0.6759,0.4788,0.5451,0.2219
am,de,0.0306,53,8,0.0016070711128967,15590,1074,14.51582867783985,0.2724193133980275,0.4744567289363325,0.1813303033368516,0.9724,0.6713,0.6358,0.5114,0.5585,0.33
am,fro,0.1393,23,38,0.0004017677782241,17678,1074,16.459962756052143,0.0937745835963677,0.4744567289363325,0.6437715728285827,1.0,0.7396,0.7058,0.5212,0.6306,0.277
am,es,0.1565,16,45,0.0016070711128967,17680,1074,16.461824953445067,0.1474296839146102,0.4744567289363325,0.4750880641531776,1.0,0.5389,0.5353,0.554,0.4682,0.1514
am,fr,0.0134,55,6,0.0020088388911209,16448,1074,15.314711359404097,0.2057620460579268,0.4744567289363325,0.3207191735098895,1.0,0.688,0.5947,0.4498,0.469,0.265
am,fi,0.0651,50,11,0.0020088388911209,18723,1074,17.432960893854748,0.3189427368077481,0.4744567289363325,0.1074349830056775,1.0,0.743,0.6448,0.4498,0.493,0.2021
am,grc,0.1431,19,42,0.0004017677782241,17081,1074,15.904096834264433,0.1730742274014335,0.4744567289363325,0.4034993559637911,1.0,0.6917,0.6064,0.4498,0.523,0.2856
am,no,0.0109,59,2,0.0012053033346725,20045,1074,18.66387337057728,0.1846147253241721,0.4744567289363325,0.3731895083504338,1.0,0.768,0.6675,0.5,0.5456,0.3144
am,ar,0.115,31,30,0.0004017677782241,19738,1074,18.3780260707635,4.7672168034857886e-06,0.4744567289363325,0.9999799046253836,1.0,0.6413,0.5624,0.439,0.448,0.2665
am,la,0.0,60,1,0.0004017677782241,18400,1074,17.13221601489758,0.1715984617000315,0.4744567289363325,0.4074606238770104,1.0,0.7074,0.6093,0.4685,0.4769,0.2748
am,et,0.0163,54,7,0.0008035355564483,26197,1074,24.39199255121043,0.3337469262526225,0.4744567289363325,0.0879539781537963,1.0,0.7404,0.6276,0.2914,0.4776,0.0561
am,ko,0.1279,28,33,0.0016070711128967,27363,1074,25.47765363128492,0.2977608806802764,0.4744567289363325,0.1386945735943618,1.0,0.7132,0.6065,0.4744,0.4708,0.3174
am,ja,0.2045,7,54,0.0,57256,1074,53.31098696461825,0.0003197953309881,0.4744567289363325,0.9986524058503538,0.9724,0.6349,0.5671,0.4034,0.4408,0.2649
am,ru,0.0894,43,18,0.0016070711128967,61889,1074,57.62476722532588,0.2241205920170711,0.4744567289363325,0.2783901541586043,1.0,0.7252,0.6352,0.4498,0.5106,0.2709
am,cs,0.0979,39,22,0.0016070711128967,87913,1074,81.85567970204842,0.1727176492441835,0.4744567289363325,0.4044547144913261,1.0,0.7745,0.6774,0.5456,0.5588,0.2818
th,bxr,0.0901,40,21,0.009979353062629,927,1000,0.927,0.6023336111441838,0.9207858048162232,0.1196110379081184,1.0,0.6836,0.5923,0.4685,0.4882,0.279
th,kmr,0.1864,12,49,0.0048176187198898,754,1000,0.754,0.3877346961448728,0.9207858048162232,0.3351355286698407,1.0,0.6263,0.5871,0.3548,0.5332,0.2768
th,hsb,0.1847,13,48,0.0130763936682725,646,1000,0.646,0.5423194196193881,0.9207858048162232,0.1689419075298821,1.0,0.641,0.5827,0.4935,0.5015,0.1604
th,kk,0.1753,18,43,0.0182381280110117,1078,1000,1.078,0.6191198786039454,0.9207858048162232,0.1073334987105542,1.0,0.6713,0.5917,0.4513,0.5173,0.1961
th,hy,0.1136,38,23,0.0092911218169304,564,1000,0.564,0.5479001354751306,0.9207858048162232,0.1639963397506209,1.0,0.6331,0.5779,0.439,0.4565,0.2752
th,swl,0.0629,46,15,0.0,203,1000,0.203,0.4872907625542468,0.9207858048162232,0.2216414787714358,1.0,0.6858,0.5913,0.4498,0.409,0.2879
th,lt,0.1336,33,28,0.0020646937370956,263,1000,0.263,0.5654157163591126,0.9207858048162232,0.1489513727020474,1.0,0.7141,0.6141,0.439,0.4606,0.2633
th,be,0.036,51,10,0.0110116999311768,393,1000,0.393,0.5525618374558304,0.9207858048162232,0.1599215074926046,1.0,0.6471,0.6051,0.4498,0.5679,0.1648
th,mr,0.1532,28,33,0.0,466,1000,0.466,0.5290718671000361,0.9207858048162232,0.1809759305482058,1.0,0.6825,0.5946,0.4034,0.4658,0.2698
th,cop,0.1176,37,24,0.0,514,1000,0.514,0.4940717882085432,0.9207858048162232,0.2147615780964931,1.0,0.5854,0.5213,0.2468,0.5,0.081
th,ta,0.19,10,51,0.0113558155540261,600,1000,0.6,0.5614149588826524,0.9207858048162232,0.1523240411538923,1.0,0.738,0.6795,0.5922,0.5588,0.1424
th,ga,0.2188,7,54,0.0110116999311768,1020,1000,1.02,0.3499300699300699,0.9207858048162232,0.3843576292243852,1.0,0.6096,0.5534,0.4498,0.4475,0.0754
th,hu,0.1312,34,27,0.0213351686166551,1800,1000,1.8,0.4546198320061089,0.9207858048162232,0.2563090307368592,1.0,0.6445,0.5694,0.4034,0.4682,0.2628
th,te,0.2268,6,55,0.0003441156228492,1328,1000,1.328,0.3446196660482374,0.9207858048162232,0.3915418889013977,1.0,0.6942,0.5729,0.2468,0.3364,0.042
th,af,0.0734,45,16,0.019958706125258,1934,1000,1.934,0.203484865408243,0.9207858048162232,0.6068558856777021,1.0,0.6496,0.5917,0.4498,0.4768,0.2607
th,vi,0.2395,4,57,0.0192704748795595,3000,1000,3.0,0.1568043561492321,0.9207858048162232,0.6884119413625749,1.0,0.5797,0.5424,0.4835,0.4815,0.2386
th,ug,0.2885,1,60,0.0096352374397797,3456,1000,3.456,0.4374610522567435,0.9207858048162232,0.2755248938233587,1.0,0.5893,0.5643,0.4835,0.5528,0.1975
th,el,0.0276,57,4,0.0216792842395044,2521,1000,2.521,0.2837253360022877,0.9207858048162232,0.478678677938452,1.0,0.6765,0.5953,0.4935,0.4502,0.2924
th,sme,0.1728,20,41,0.0058499655884377,3122,1000,3.122,0.4513223794042703,0.9207858048162232,0.2599478894212133,1.0,0.7227,0.6374,0.4498,0.541,0.2613
th,gl,0.1451,31,30,0.0282174810736407,3993,1000,3.993,0.2302721876615389,0.9207858048162232,0.5623766287923242,0.9724,0.6636,0.5908,0.4685,0.4892,0.2959
th,sr,0.1747,19,42,0.0168616655196145,3891,1000,3.891,0.3111760696308725,0.9207858048162232,0.4383152256399112,1.0,0.6299,0.6305,0.5734,0.5555,0.1983
th,got,0.1594,25,36,0.0,5401,1000,5.401,0.1811019353439708,0.9207858048162232,0.6453199108819084,1.0,0.6909,0.5925,0.3548,0.409,0.2962
