Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
norw1258,latv1249,0.8337,0.4925,0.5274,0.3695,0.5722,0.0373
norw1258,hebr1245,1.0,0.4355,0.5216,0.4576,0.5833,0.1494
norw1258,ukra1253,0.8718,0.4372,0.5223,0.4576,0.6226,0.066
norw1258,indo1316,1.0,0.5328,0.547,0.4878,0.5251,0.3987
norw1258,dani1285,0.4788,0.4177,0.4944,0.3141,0.5609,0.0236
norw1258,swed1254,0.4788,0.4231,0.4692,0.2513,0.4852,0.017
norw1258,mand1415,1.0,0.5548,0.5862,0.4685,0.5859,0.2709
stan1288,czec1258,0.9248,0.4954,0.5141,0.3433,0.5431,0.0675
stan1288,russ1263,0.9078,0.4743,0.5029,0.3433,0.5273,0.2163
stan1288,norw1258,0.9176,0.4029,0.5134,0.5335,0.6445,0.0942
stan1288,kore1280,1.0,0.6751,0.621,0.5609,0.5505,0.3622
stan1288,esto1258,0.9638,0.5263,0.4968,0.39,0.4617,0.1129
stan1288,poli1260,0.9176,0.5426,0.5245,0.3277,0.4801,0.0807
stan1288,dutc1256,0.9386,0.5076,0.5231,0.432,0.557,0.0563
stan1288,port1283,0.1864,0.3872,0.4392,0.3695,0.4797,0.0129
stan1288,lati1261,0.5533,0.5687,0.5346,0.427,0.4617,0.0472
stan1288,stan1290,0.4601,0.4358,0.506,0.4565,0.5804,0.0362
stan1288,stan1295,0.9248,0.4029,0.5013,0.4835,0.6393,0.0579
stan1288,hind1269,0.9304,0.5772,0.5872,0.4565,0.5922,0.279
stan1288,stan1289,0.2677,0.4348,0.4587,0.3277,0.4565,0.017
stan1288,ital1282,0.5295,0.4211,0.4564,0.2736,0.5037,0.0485
stan1288,stan1293,0.9386,0.56,0.5541,0.2566,0.5481,0.0575
stan1288,finn1318,1.0,0.5221,0.5119,0.427,0.5617,0.1295
stan1288,bulg1262,0.9248,0.3787,0.4492,0.3433,0.5933,0.0891
stan1288,slov1268,0.9176,0.5003,0.5338,0.3433,0.5118,0.059
stan1288,slov1269,0.9176,0.7585,0.7326,0.5859,0.6885,0.0742
stan1288,roma1327,0.5804,0.3442,0.4031,0.3277,0.5114,0.0875
stan1288,croa1245,0.9304,0.4894,0.483,0.4054,0.4327,0.0638
stan1288,stan1318,1.0,0.5828,0.5268,0.3433,0.4407,0.1725
stan1288,latv1249,0.8934,0.5135,0.5077,0.39,0.4834,0.1053
stan1288,hebr1245,1.0,0.4113,0.5013,0.4816,0.6441,0.1372
stan1288,ukra1253,0.9176,0.4422,0.4688,0.2736,0.5275,0.0896
stan1288,indo1316,1.0,0.5573,0.5326,0.427,0.4627,0.4247
stan1288,dani1285,0.9248,0.5048,0.5224,0.427,0.4878,0.073
stan1288,swed1254,0.9248,0.4698,0.541,0.4576,0.6215,0.1022
stan1288,mand1415,1.0,0.5973,0.6244,0.4835,0.5941,0.3363
kore1280,czec1258,1.0,0.6705,0.639,0.6123,0.6216,0.3125
kore1280,russ1263,1.0,0.5883,0.6162,0.6123,0.6511,0.1814
kore1280,norw1258,1.0,0.5935,0.5642,0.4576,0.4982,0.2963
