Source lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
slov1269,ukra1253,0.5903,0.7377,0.7139,0.5859,0.6792,0.0172
slov1269,thai1261,1.0,0.7684,0.7402,0.5641,0.6435,0.3107
slov1269,bela1254,0.5319,0.7341,0.7129,0.6082,0.7078,0.0292
slov1269,nucl1301,1.0,0.7396,0.7019,0.5859,0.6263,0.0607
slov1269,nort2697,1.0,0.7644,0.7231,0.5859,0.6522,0.095
slov1269,stan1295,0.8831,0.7508,0.7139,0.5212,0.6221,0.0192
slov1269,bulg1262,0.631,0.7624,0.7305,0.6082,0.6478,0.031
slov1269,norw1259,0.9766,0.7527,0.7068,0.5426,0.5972,0.0634
slov1269,nucl1302,1.0,0.7341,0.7028,0.5,0.6885,0.097
slov1269,dani1285,0.8831,0.7396,0.719,0.5641,0.6746,0.0393
slov1269,nucl1235,0.8337,0.7181,0.7019,0.5426,0.6792,0.0931
slov1269,mand1415,1.0,0.7414,0.7211,0.5212,0.6306,0.279
slov1269,indo1316,1.0,0.7746,0.7457,0.5641,0.6746,0.3835
slov1269,gali1258,0.9139,0.7164,0.6931,0.5426,0.6611,0.0882
slov1269,port1283,0.9139,0.7216,0.6921,0.5426,0.6391,0.079
slov1269,urdu1245,0.8919,0.7851,0.7337,0.5426,0.6096,0.1953
slov1269,ital1282,0.9047,0.7199,0.7019,0.5859,0.6792,0.0319
slov1269,stan1288,0.9176,0.7585,0.7326,0.5859,0.6885,0.0742
slov1269,mode1248,0.8718,0.713,0.6989,0.5859,0.6981,0.0346
slov1269,beng1280,0.8919,0.7684,0.719,0.5212,0.6054,0.2585
slov1269,nucl1643,1.0,0.7451,0.7098,0.5641,0.6566,0.3281
slov1269,stan1306,1.0,0.8029,0.757,0.5859,0.6746,0.3416
slov1269,dutc1256,0.9047,0.7269,0.6931,0.5,0.6137,0.0433
slov1269,croa1245,0.6614,0.8052,0.7748,0.631,0.6885,0.0166
slov1269,hebr1245,1.0,0.7433,0.72,0.5859,0.7078,0.0969
slov1269,mong1331,1.0,0.7851,0.7435,0.6082,0.6655,0.2365
slov1269,hind1269,0.8919,0.7269,0.6759,0.4788,0.5451,0.2219
nucl1310,basq1248,0.9724,0.6713,0.6358,0.5114,0.5585,0.33
nucl1310,slov1269,1.0,0.7396,0.7058,0.5212,0.6306,0.277
nucl1310,kore1280,1.0,0.5389,0.5353,0.554,0.4682,0.1514
nucl1310,lith1251,1.0,0.688,0.5947,0.4498,0.469,0.265
nucl1310,stan1318,1.0,0.743,0.6448,0.4498,0.493,0.2021
nucl1310,czec1258,1.0,0.6917,0.6064,0.4498,0.523,0.2856
nucl1310,espe1235,1.0,0.768,0.6675,0.5,0.5456,0.3144
nucl1310,finn1318,1.0,0.6413,0.5624,0.439,0.448,0.2665
nucl1310,alba1267,1.0,0.7074,0.6093,0.4685,0.4769,0.2748
nucl1310,viet1252,1.0,0.7404,0.6276,0.2914,0.4776,0.0561
nucl1310,stan1290,1.0,0.7132,0.6065,0.4744,0.4708,0.3174
nucl1310,esto1258,0.9724,0.6349,0.5671,0.4034,0.4408,0.2649
nucl1310,mace1250,1.0,0.7252,0.6352,0.4498,0.5106,0.2709
nucl1310,bosn1245,1.0,0.7745,0.6774,0.5456,0.5588,0.2818
nucl1310,swed1254,1.0,0.6836,0.5923,0.4685,0.4882,0.279
nucl1310,poli1260,1.0,0.6263,0.5871,0.3548,0.5332,0.2768
nucl1310,west2369,1.0,0.641,0.5827,0.4935,0.5015,0.1604
nucl1310,kurd1259,1.0,0.6713,0.5917,0.4513,0.5173,0.1961
nucl1310,hung1274,1.0,0.6331,0.5779,0.439,0.4565,0.2752
nucl1310,slov1268,1.0,0.6858,0.5913,0.4498,0.409,0.2879
nucl1310,roma1327,1.0,0.7141,0.6141,0.439,0.4606,0.2633
nucl1310,russ1263,1.0,0.6471,0.6051,0.4498,0.5679,0.1648
nucl1310,serb1264,1.0,0.6825,0.5946,0.4034,0.4658,0.2698
nucl1310,tami1289,1.0,0.5854,0.5213,0.2468,0.5,0.081
nucl1310,kaza1248,1.0,0.738,0.6795,0.5922,0.5588,0.1424
nucl1310,mara1378,1.0,0.6096,0.5534,0.4498,0.4475,0.0754
nucl1310,ukra1253,1.0,0.6445,0.5694,0.4034,0.4682,0.2628
nucl1310,thai1261,1.0,0.6942,0.5729,0.2468,0.3364,0.042
nucl1310,bela1254,1.0,0.6496,0.5917,0.4498,0.4768,0.2607
nucl1310,nucl1301,1.0,0.5797,0.5424,0.4835,0.4815,0.2386
nucl1310,nort2697,1.0,0.5893,0.5643,0.4835,0.5528,0.1975
nucl1310,stan1295,1.0,0.6765,0.5953,0.4935,0.4502,0.2924
nucl1310,bulg1262,1.0,0.7227,0.6374,0.4498,0.541,0.2613
nucl1310,norw1259,0.9724,0.6636,0.5908,0.4685,0.4892,0.2959
nucl1310,nucl1302,1.0,0.6299,0.6305,0.5734,0.5555,0.1983
nucl1310,dani1285,1.0,0.6909,0.5925,0.3548,0.409,0.2962
nucl1310,nucl1235,1.0,0.6333,0.5883,0.535,0.5308,0.2013
nucl1310,mand1415,0.879,0.6187,0.6253,0.4246,0.6128,0.1219
nucl1310,indo1316,1.0,0.6744,0.5742,0.2468,0.384,0.1439
nucl1310,gali1258,1.0,0.6812,0.5866,0.3021,0.4165,0.3457
nucl1310,port1283,1.0,0.6842,0.5832,0.3931,0.396,0.3382
nucl1310,urdu1245,1.0,0.6693,0.6008,0.535,0.4889,0.1136
nucl1310,ital1282,1.0,0.6952,0.6176,0.4034,0.4682,0.2951
nucl1310,stan1288,1.0,0.7173,0.6239,0.4034,0.5148,0.3327
nucl1310,mode1248,1.0,0.7026,0.6262,0.4034,0.5187,0.262
nucl1310,beng1280,1.0,0.6166,0.5331,0.3445,0.4589,0.0223
nucl1310,nucl1643,1.0,0.5582,0.5281,0.439,0.448,0.1718
nucl1310,stan1306,1.0,0.7134,0.6296,0.4034,0.4772,0.0874
nucl1310,dutc1256,1.0,0.6498,0.5769,0.4513,0.4643,0.3074
nucl1310,croa1245,1.0,0.7467,0.629,0.4078,0.4935,0.2831
nucl1310,hebr1245,1.0,0.6961,0.6418,0.554,0.544,0.2324
nucl1310,mong1331,1.0,0.5441,0.512,0.359,0.4938,0.1205
nucl1310,hind1269,1.0,0.6109,0.5446,0.4744,0.4421,0.0736
kore1280,basq1248,0.9896,0.6142,0.6278,0.6502,0.6476,0.3552
kore1280,slov1269,1.0,0.7323,0.7119,0.5859,0.6792,0.3089
kore1280,nucl1310,1.0,0.5389,0.5353,0.554,0.4682,0.1514
kore1280,lith1251,1.0,0.6309,0.5905,0.6123,0.5552,0.2853
kore1280,stan1318,1.0,0.7303,0.6423,0.5348,0.4901,0.2926
kore1280,czec1258,1.0,0.6705,0.639,0.6123,0.6216,0.3125
kore1280,espe1235,1.0,0.7073,0.6243,0.5207,0.4664,0.3335
kore1280,finn1318,1.0,0.6196,0.5291,0.5096,0.3638,0.2641
kore1280,alba1267,1.0,0.6529,0.6113,0.6019,0.5613,0.3197
kore1280,viet1252,1.0,0.7368,0.6721,0.572,0.5225,0.1203
kore1280,stan1290,1.0,0.7023,0.617,0.5253,0.4804,0.3381
kore1280,esto1258,0.9896,0.6237,0.557,0.5609,0.4528,0.2754
kore1280,mace1250,1.0,0.6596,0.6471,0.6123,0.5861,0.3183
kore1280,bosn1245,1.0,0.6549,0.6071,0.471,0.4832,0.3236
kore1280,swed1254,1.0,0.645,0.5984,0.4576,0.5026,0.2862
kore1280,poli1260,1.0,0.5835,0.5871,0.5096,0.5633,0.3018
kore1280,west2369,1.0,0.6612,0.6041,0.6185,0.5056,0.2591
kore1280,kurd1259,1.0,0.7044,0.6498,0.572,0.597,0.2718
kore1280,hung1274,1.0,0.5763,0.526,0.5096,0.4278,0.3109
kore1280,slov1268,1.0,0.6184,0.6128,0.6123,0.55,0.3214
kore1280,roma1327,1.0,0.6325,0.6055,0.5829,0.5696,0.3029
kore1280,russ1263,1.0,0.5883,0.6162,0.6123,0.6511,0.1814
kore1280,serb1264,1.0,0.6359,0.5792,0.5609,0.4805,0.3121
kore1280,tami1289,1.0,0.5863,0.5616,0.5096,0.5366,0.2253
kore1280,kaza1248,1.0,0.7451,0.6824,0.6373,0.4832,0.2068
kore1280,mara1378,1.0,0.546,0.5484,0.5348,0.4829,0.2139
kore1280,ukra1253,1.0,0.6055,0.5914,0.5609,0.5861,0.2988
kore1280,thai1261,1.0,0.6497,0.5978,0.5096,0.4209,0.1506
kore1280,bela1254,1.0,0.6212,0.5981,0.6123,0.5168,0.2862
kore1280,nucl1301,1.0,0.5607,0.5261,0.5609,0.5168,0.2974
kore1280,nort2697,1.0,0.5554,0.5484,0.5609,0.5812,0.2616
kore1280,stan1295,1.0,0.5935,0.5755,0.554,0.5227,0.3199
kore1280,bulg1262,1.0,0.6271,0.6135,0.6123,0.5671,0.3077
kore1280,norw1259,0.9896,0.6115,0.5711,0.4576,0.4982,0.2965
kore1280,nucl1302,1.0,0.5604,0.5977,0.572,0.6156,0.2661
kore1280,dani1285,1.0,0.6126,0.5939,0.5829,0.5052,0.3098
kore1280,nucl1235,1.0,0.5174,0.5261,0.6019,0.5429,0.2671
kore1280,mand1415,1.0,0.5008,0.5578,0.4835,0.5505,0.0436
kore1280,indo1316,1.0,0.6727,0.617,0.5096,0.4569,0.2106
kore1280,gali1258,1.0,0.6095,0.592,0.5335,0.5276,0.3665
kore1280,port1283,1.0,0.6111,0.5982,0.5335,0.5185,0.3625
kore1280,urdu1245,1.0,0.5183,0.5749,0.6654,0.5935,0.2297
kore1280,ital1282,1.0,0.6137,0.6189,0.5609,0.5861,0.3328
kore1280,stan1288,1.0,0.6751,0.621,0.5609,0.5505,0.3622
kore1280,mode1248,1.0,0.6505,0.6419,0.6327,0.6454,0.3103
kore1280,beng1280,1.0,0.5089,0.5276,0.554,0.5256,0.1567
kore1280,nucl1643,1.0,0.4281,0.4755,0.6502,0.5129,0.0282
kore1280,stan1306,1.0,0.7093,0.6562,0.5609,0.5715,0.186
kore1280,dutc1256,1.0,0.6318,0.592,0.432,0.5145,0.3235
kore1280,croa1245,1.0,0.6685,0.6271,0.5879,0.5505,0.3201
kore1280,hebr1245,1.0,0.6567,0.639,0.5609,0.5886,0.3097
kore1280,mong1331,1.0,0.5318,0.5444,0.5348,0.5633,0.0909
kore1280,hind1269,1.0,0.5528,0.5681,0.5879,0.558,0.1976
lith1251,basq1248,0.9819,0.5708,0.5529,0.2677,0.5219,0.0916
lith1251,slov1269,0.6545,0.7341,0.7009,0.6082,0.6566,0.0337
lith1251,nucl1310,1.0,0.688,0.5947,0.4498,0.469,0.265
lith1251,kore1280,1.0,0.6309,0.5905,0.6123,0.5552,0.2853
lith1251,stan1318,1.0,0.6023,0.5438,0.2871,0.4756,0.1382
lith1251,czec1258,0.6875,0.3922,0.384,0.0,0.4073,0.0347
lith1251,espe1235,1.0,0.6192,0.5884,0.369,0.5074,0.0646
lith1251,finn1318,1.0,0.5245,0.4912,0.2677,0.4657,0.0442
lith1251,alba1267,0.6082,0.5228,0.4999,0.319,0.4517,0.0598
lith1251,viet1252,1.0,0.691,0.6443,0.4745,0.5056,0.2994
lith1251,stan1290,0.8934,0.59,0.5354,0.4196,0.4824,0.0699
lith1251,esto1258,0.9819,0.5022,0.4786,0.195,0.4701,0.0198
lith1251,mace1250,0.6875,0.4283,0.4089,0.0,0.392,0.0623
lith1251,bosn1245,0.7125,0.5976,0.5871,0.4359,0.5222,0.059
lith1251,swed1254,0.8485,0.5608,0.5493,0.319,0.5211,0.0268
lith1251,poli1260,0.6545,0.459,0.473,0.2677,0.4933,0.0211
lith1251,west2369,0.86,0.5537,0.5281,0.359,0.4795,0.1551
lith1251,kurd1259,0.8485,0.5625,0.5418,0.3918,0.5156,0.1102
lith1251,hung1274,1.0,0.5316,0.4927,0.2677,0.4287,0.0398
lith1251,slov1268,0.6545,0.4096,0.4067,0.0,0.429,0.0486
lith1251,roma1327,0.8691,0.5419,0.5184,0.2677,0.4795,0.0402
lith1251,russ1263,0.6082,0.4977,0.4534,0.0,0.3825,0.1244
lith1251,serb1264,0.7125,0.5099,0.5093,0.195,0.4955,0.05
lith1251,tami1289,1.0,0.5715,0.547,0.3862,0.5698,0.2652
lith1251,kaza1248,1.0,0.7434,0.7125,0.6172,0.5793,0.1356
lith1251,mara1378,0.8485,0.5866,0.5564,0.2871,0.5408,0.2366
lith1251,ukra1253,0.6545,0.4442,0.4223,0.195,0.4436,0.032
lith1251,thai1261,1.0,0.7006,0.6506,0.4788,0.4887,0.299
lith1251,bela1254,0.6082,0.3729,0.3842,0.0,0.4286,0.0098
lith1251,nucl1301,1.0,0.5353,0.5034,0.195,0.4959,0.0748
lith1251,nort2697,1.0,0.515,0.4875,0.195,0.495,0.0932
lith1251,stan1295,0.8485,0.5459,0.5295,0.359,0.5022,0.044
lith1251,bulg1262,0.6875,0.4944,0.464,0.0,0.3638,0.054
lith1251,norw1259,0.9819,0.5534,0.5528,0.4208,0.5526,0.0469
lith1251,nucl1302,1.0,0.5244,0.5337,0.3918,0.5404,0.0975
lith1251,dani1285,0.8485,0.5126,0.4848,0.2677,0.4034,0.0384
lith1251,nucl1235,0.7837,0.5027,0.4811,0.319,0.4906,0.0936
lith1251,mand1415,1.0,0.5964,0.6417,0.5273,0.6333,0.2558
lith1251,indo1316,1.0,0.6369,0.6045,0.3862,0.4766,0.3759
lith1251,gali1258,0.8886,0.4258,0.4656,0.319,0.5421,0.1094
lith1251,port1283,0.8886,0.4368,0.4446,0.319,0.454,0.1022
lith1251,urdu1245,0.86,0.5677,0.57,0.5049,0.5551,0.1924
lith1251,ital1282,0.8767,0.4533,0.4638,0.195,0.4906,0.0646
lith1251,stan1288,0.8934,0.5645,0.5495,0.3433,0.5404,0.1005
lith1251,mode1248,0.8337,0.5026,0.4982,0.195,0.5009,0.0587
lith1251,beng1280,0.86,0.5792,0.5418,0.4498,0.4886,0.2465
