Target lang,Transfer lang,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
java1254,kiny1244,1.0,0.6287,0.5921,0.6502,0.5009,0.3352
java1254,kirg1245,1.0,0.7273,0.6279,0.439,0.5172,0.2347
java1254,kurd1259,1.0,0.7258,0.6298,0.4646,0.5172,0.297
java1254,laoo1244,1.0,0.4326,0.4427,0.3729,0.4208,0.0808
java1254,mara1378,1.0,0.7042,0.6148,0.3862,0.409,0.1707
java1254,malt1254,1.0,0.6149,0.6042,0.5096,0.46,0.3817
java1254,nucl1310,1.0,0.6793,0.5881,0.439,0.4176,0.1218
java1254,stan1306,0.6854,0.4581,0.4556,0.427,0.4333,0.0452
java1254,dutc1256,1.0,0.6055,0.5637,0.3881,0.4485,0.3957
java1254,nyan1308,1.0,0.5879,0.5359,0.5295,0.4259,0.3252
java1254,east2652,1.0,0.7151,0.6068,0.5574,0.3871,0.2948
java1254,panj1256,1.0,0.662,0.5783,0.409,0.3915,0.1999
java1254,poli1260,1.0,0.6077,0.5886,0.3729,0.4931,0.3704
java1254,port1283,1.0,0.5427,0.5375,0.409,0.4213,0.4198
java1254,roma1327,1.0,0.5598,0.5309,0.4601,0.4611,0.3583
java1254,russ1263,1.0,0.6614,0.6442,0.4788,0.5242,0.27
java1254,shon1251,1.0,0.6265,0.595,0.6035,0.501,0.3356
java1254,soma1255,1.0,0.5849,0.5647,0.5499,0.4438,0.2803
java1254,stan1288,1.0,0.5616,0.5671,0.5096,0.5324,0.4149
java1254,swah1253,1.0,0.5993,0.5559,0.4878,0.4456,0.3077
java1254,swed1254,1.0,0.6121,0.5825,0.409,0.5072,0.3717
java1254,tami1289,1.0,0.8104,0.6582,0.4601,0.4456,0.151
java1254,telu1262,1.0,0.7639,0.6194,0.427,0.4304,0.1607
java1254,taji1245,1.0,0.6772,0.6316,0.4934,0.5492,0.2397
java1254,taga1270,0.6614,0.5779,0.5158,0.2617,0.4611,0.0825
java1254,thai1261,1.0,0.427,0.4321,0.3729,0.4335,0.0813
java1254,tigr1271,1.0,0.6797,0.6118,0.5114,0.5235,0.3057
java1254,turk1304,1.0,0.7429,0.6364,0.427,0.4628,0.2612
java1254,nucl1301,1.0,0.6793,0.6048,0.427,0.4831,0.3353
java1254,ukra1253,1.0,0.6475,0.5981,0.427,0.4456,0.3583
java1254,uigh1240,1.0,0.8363,0.6877,0.4788,0.5122,0.2277
java1254,uzbe1247,1.0,0.805,0.6823,0.5574,0.5511,0.2433
java1254,viet1252,1.0,0.451,0.4999,0.4646,0.4973,0.088
java1254,xhos1239,1.0,0.6148,0.5818,0.5114,0.4456,0.3429
java1254,yoru1245,1.0,0.4886,0.4957,0.5587,0.4477,0.4152
java1254,zulu1248,1.0,0.6341,0.6099,0.5933,0.5049,0.332
laoo1244,amha1245,1.0,0.7478,0.6683,0.4878,0.445,0.2698
laoo1244,stan1318,1.0,0.7029,0.6608,0.4788,0.419,0.2465
laoo1244,nort2697,1.0,0.6878,0.6611,0.5096,0.5745,0.2411
laoo1244,beng1280,1.0,0.6295,0.5948,0.3548,0.522,0.072
laoo1244,stan1289,1.0,0.5927,0.5716,0.3729,0.4237,0.3561
laoo1244,cebu1242,1.0,0.6084,0.5274,0.2617,0.4008,0.0943
laoo1244,cent1972,1.0,0.8502,0.8693,0.8136,0.8234,0.2407
laoo1244,stan1295,1.0,0.6071,0.5844,0.5114,0.4988,0.3292
laoo1244,west2369,1.0,0.6506,0.6217,0.5114,0.4996,0.2067
laoo1244,stan1290,1.0,0.6412,0.6162,0.4867,0.4973,0.3523
laoo1244,haus1257,1.0,0.532,0.5558,0.4646,0.5336,0.3719
laoo1244,hind1269,1.0,0.655,0.6305,0.4867,0.5399,0.1228
laoo1244,hung1274,1.0,0.6795,0.6348,0.4601,0.4928,0.3136
laoo1244,ilok1237,1.0,0.6807,0.5848,0.3277,0.3532,0.0718
laoo1244,indo1316,1.0,0.4463,0.4374,0.2617,0.3987,0.1083
laoo1244,ital1282,1.0,0.5963,0.5907,0.427,0.441,0.333
laoo1244,java1254,1.0,0.4326,0.4427,0.3729,0.4208,0.0808
laoo1244,kaza1248,1.0,0.8209,0.6688,0.5533,0.5,0.1862
laoo1244,kiny1244,1.0,0.6053,0.5951,0.5829,0.4772,0.3171
laoo1244,kirg1245,1.0,0.6945,0.6687,0.5114,0.6088,0.1643
laoo1244,kurd1259,1.0,0.7203,0.6599,0.4646,0.5721,0.2406
laoo1244,mara1378,1.0,0.7099,0.6497,0.3862,0.4997,0.1205
laoo1244,malt1254,1.0,0.6329,0.6223,0.427,0.4617,0.3339
laoo1244,nucl1310,1.0,0.6611,0.5907,0.2468,0.4425,0.0507
laoo1244,stan1306,1.0,0.5389,0.5303,0.427,0.4508,0.0606
laoo1244,dutc1256,1.0,0.6437,0.5976,0.4646,0.4711,0.342
laoo1244,nyan1308,1.0,0.5952,0.5295,0.3333,0.2952,0.3217
laoo1244,east2652,1.0,0.6806,0.6107,0.409,0.4306,0.2654
laoo1244,panj1256,1.0,0.655,0.6207,0.409,0.5167,0.1344
laoo1244,poli1260,1.0,0.5881,0.5932,0.3729,0.4918,0.3137
laoo1244,port1283,1.0,0.5817,0.576,0.409,0.4493,0.3726
laoo1244,roma1327,1.0,0.5906,0.5719,0.4601,0.4772,0.3025
laoo1244,russ1263,1.0,0.6544,0.662,0.4788,0.5567,0.1998
laoo1244,shon1251,1.0,0.6462,0.6236,0.4601,0.5124,0.334
laoo1244,soma1255,1.0,0.6244,0.6244,0.4867,0.5582,0.2555
laoo1244,stan1288,1.0,0.6067,0.6175,0.5096,0.5421,0.3679
laoo1244,swah1253,1.0,0.6421,0.604,0.409,0.4716,0.2977
laoo1244,swed1254,1.0,0.6401,0.6143,0.4878,0.5184,0.313
laoo1244,tami1289,1.0,0.7949,0.6855,0.3729,0.5124,0.1157
laoo1244,telu1262,1.0,0.7593,0.6676,0.3277,0.5309,0.1122
laoo1244,taji1245,1.0,0.6175,0.5697,0.3918,0.4681,0.1725
laoo1244,taga1270,1.0,0.656,0.5807,0.2617,0.4297,0.076
laoo1244,thai1261,0.0,0.3727,0.363,0.0,0.3924,0.0193
laoo1244,tigr1271,1.0,0.6994,0.6377,0.5114,0.4997,0.2693
laoo1244,turk1304,1.0,0.7251,0.6219,0.3277,0.384,0.199
laoo1244,nucl1301,1.0,0.6957,0.6478,0.5096,0.5319,0.2805
laoo1244,ukra1253,1.0,0.6401,0.6146,0.427,0.466,0.3017
laoo1244,uigh1240,1.0,0.8175,0.6821,0.4788,0.4196,0.1551
laoo1244,uzbe1247,1.0,0.7737,0.6977,0.4878,0.5745,0.1756
laoo1244,viet1252,1.0,0.4736,0.4772,0.2952,0.4626,0.0143
laoo1244,xhos1239,1.0,0.6493,0.5865,0.3548,0.3824,0.3549
laoo1244,yoru1245,1.0,0.4954,0.4597,0.3862,0.3914,0.3902
laoo1244,zulu1248,1.0,0.6395,0.6162,0.4646,0.4837,0.3392
